negative,"simplistic , silly and tedious ."
negative,"it's so laddish and juvenile , only teenage boys could possibly find it funny ."
negative,exploitative and largely devoid of the depth or sophistication that would make watching such a graphic treatment of the crimes bearable .
negative,"[garbus] discards the potential for pathological study , exhuming instead , the skewed melodrama of the circumstantial situation ."
negative,a visually flashy but narratively opaque and emotionally vapid exercise in style and mystification .
negative,"the story is also as unoriginal as they come , already having been recycled more times than i'd care to count ."
negative,about the only thing to give the movie points for is bravado -- to take an entirely stale concept and push it through the audience's meat grinder one more time .
negative,not so much farcical as sour .
negative,unfortunately the story and the actors are served with a hack script .
negative,"all the more disquieting for its relatively gore-free allusions to the serial murders , but it falls down in its attempts to humanize its subject ."
negative,a sentimental mess that never rings true .
negative,"while the performances are often engaging , this loose collection of largely improvised numbers would probably have worked better as a one-hour tv documentary ."
negative,"interesting , but not compelling ."
negative,"on a cutting room floor somewhere lies . . . footage that might have made no such thing a trenchant , ironic cultural satire instead of a frustrating misfire ."
negative,"while the ensemble player who gained notice in guy ritchie's lock , stock and two smoking barrels and snatch has the bod , he's unlikely to become a household name on the basis of his first starring vehicle ."
negative,there is a difference between movies with the courage to go over the top and movies that don't care about being stupid
negative,"nothing here seems as funny as it did in analyze this , not even joe viterelli as de niro's right-hand goombah ."
negative,"such master screenwriting comes courtesy of john pogue , the yale grad who previously gave us "" the skulls "" and last year's "" rollerball . "" enough said , except : film overboard !"
negative,"here , common sense flies out the window , along with the hail of bullets , none of which ever seem to hit sascha ."
negative,this 100-minute movie only has about 25 minutes of decent material .
negative,the execution is so pedestrian that the most positive comment we can make is that rob schneider actually turns in a pretty convincing performance as a prissy teenage girl .
negative,"on its own , it's not very interesting . as a remake , it's a pale imitation ."
negative,it shows that some studios firmly believe that people have lost the ability to think and will forgive any shoddy product as long as there's a little girl-on-girl action .
negative,"a farce of a parody of a comedy of a premise , it isn't a comparison to reality so much as it is a commentary about our knowledge of films ."
negative,"as exciting as all this exoticism might sound to the typical pax viewer , the rest of us will be lulled into a coma ."
negative,the party scenes deliver some tawdry kicks . the rest of the film . . . is dudsville .
negative,our culture is headed down the toilet with the ferocity of a frozen burrito after an all-night tequila bender — and i know this because i've seen 'jackass : the movie . '
negative,"the criticism never rises above easy , cynical potshots at morally bankrupt characters . . ."
negative,"the movie's something-borrowed construction feels less the product of loving , well integrated homage and more like a mere excuse for the wan , thinly sketched story . killing time , that's all that's going on here ."
negative,"stupid , infantile , redundant , sloppy , over-the-top , and amateurish . yep , it's "" waking up in reno . "" go back to sleep ."
negative,"somewhere in the middle , the film compels , as demme experiments he harvests a few movie moment gems , but the field of roughage dominates ."
negative,the action clichés just pile up .
negative,"payami tries to raise some serious issues about iran's electoral process , but the result is a film that's about as subtle as a party political broadcast ."
negative,the only surprise is that heavyweights joel silver and robert zemeckis agreed to produce this ; i assume the director has pictures of them cavorting in ladies' underwear .
negative,another useless recycling of a brutal mid-'70s american sports movie .
negative,i didn't laugh . i didn't smile . i survived .
negative,"please , someone , stop eric schaeffer before he makes another film ."
negative,"most of the problems with the film don't derive from the screenplay , but rather the mediocre performances by most of the actors involved"
negative,". . . if you're just in the mood for a fun -- but bad -- movie , you might want to catch freaks as a matinee ."
negative,curling may be a unique sport but men with brooms is distinctly ordinary .
negative,"though the opera itself takes place mostly indoors , jacquot seems unsure of how to evoke any sort of naturalism on the set ."
negative,there's no getting around the fact that this is revenge of the nerds revisited -- again .
negative,"the effort is sincere and the results are honest , but the film is so bleak that it's hardly watchable ."
negative,"analyze that regurgitates and waters down many of the previous film's successes , with a few new swings thrown in ."
negative,"with flashbulb editing as cover for the absence of narrative continuity , undisputed is nearly incoherent , an excuse to get to the closing bout . . . by which time it's impossible to care who wins ."
negative,"stinks from start to finish , like a wet burlap sack of gloom ."
negative,"to the civilized mind , a movie like ballistic : ecks vs . sever is more of an ordeal than an amusement ."
negative,equlibrium could pass for a thirteen-year-old's book report on the totalitarian themes of 1984 and farenheit 451 .
negative,the lack of naturalness makes everything seem self-consciously poetic and forced . . . it's a pity that [nelson's] achievement doesn't match his ambition .
negative,everything is off .
negative,"when seagal appeared in an orange prison jumpsuit , i wanted to stand up in the theater and shout , 'hey , kool-aid ! '"
negative,"an easy watch , except for the annoying demeanour of its lead character ."
negative,"imagine the cleanflicks version of 'love story , ' with ali macgraw's profanities replaced by romance-novel platitudes ."
negative,"pc stability notwithstanding , the film suffers from a simplistic narrative and a pat , fairy-tale conclusion ."
negative,"forget the misleading title , what's with the unexplained baboon cameo ?"
negative,"an odd , haphazard , and inconsequential romantic comedy ."
negative,"though her fans will assuredly have their funny bones tickled , others will find their humor-seeking dollars best spent elsewhere ."
negative,"pascale bailly's rom-com provides amélie's audrey tautou with another fabuleux destin -- i . e . , a banal spiritual quest ."
negative,"a static and sugary little half-hour , after-school special about interfaith understanding , stretched out to 90 minutes ."
negative,"watching the chemistry between freeman and judd , however , almost makes this movie worth seeing . almost ."
negative,. . . a pretentious and ultimately empty examination of a sick and evil woman .
negative,"the country bears has no scenes that will upset or frighten young viewers . unfortunately , there is almost nothing in this flat effort that will amuse or entertain them , either ."
negative,"the cumulative effect of watching this 65-minute trifle is rather like being trapped while some weird relative trots out the video he took of the family vacation to stonehenge . before long , you're desperate for the evening to end ."
negative,the characters are never more than sketches . . . which leaves any true emotional connection or identification frustratingly out of reach .
negative,mattei's underdeveloped effort here is nothing but a convenient conveyor belt of brooding personalities that parade about as if they were coming back from stock character camp -- a drowsy drama infatuated by its own pretentious self-examination .
negative,only in its final surprising shots does rabbit-proof fence find the authority it's looking for .
negative,"isn't as sharp as the original . . . despite some visual virtues , 'blade ii' just doesn't cut it ."
negative,". . . plays like a badly edited , 91-minute trailer ( and ) the director can't seem to get a coherent rhythm going . in fact , it doesn't even seem like she tried ."
negative,"maybe leblanc thought , "" hey , the movie about the baseball-playing monkey was worse . """
negative,what you expect is just what you get . . . assuming the bar of expectations hasn't been raised above sixth-grade height .
negative,barry sonnenfeld owes frank the pug big time
negative,"the biggest problem with roger avary's uproar against the mpaa is that , even in all its director's cut glory , he's made a film that's barely shocking , barely interesting and most of all , barely anything ."
negative,so riddled with unanswered questions that it requires gargantuan leaps of faith just to watch it plod along .
negative,"i approached the usher and said that if she had to sit through it again , she should ask for a raise ."
negative,earnest but heavy-handed .
negative,if sinise's character had a brain his ordeal would be over in five minutes but instead the plot goes out of its way to introduce obstacles for him to stumble over .
negative,"too slow for a younger crowd , too shallow for an older one ."
negative,"there's a reason the studio didn't offer an advance screening . "" the adventures of pluto nash "" is a big time stinker ."
negative,"a punch line without a premise , a joke built entirely from musty memories of half-dimensional characters ."
negative,"takes one character we don't like and another we don't believe , and puts them into a battle of wills that is impossible to care about and isn't very funny ."
negative,the things this movie tries to get the audience to buy just won't fly with most intelligent viewers .
negative,"even if the enticing prospect of a lot of nubile young actors in a film about campus depravity didn't fade amid the deliberate , tiresome ugliness , it would be rendered tedious by avary's failure to construct a story with even a trace of dramatic interest ."
negative,sitting through the last reel ( spoiler alert ! ) is significantly less charming than listening to a four-year-old with a taste for exaggeration recount his halloween trip to the haunted house .
negative,"confuses its message with an ultimate desire to please , and contorting itself into an idea of expectation is the last thing any of these three actresses , nor their characters , deserve ."
negative,"deadly dull , pointless meditation on losers in a gone-to-seed hotel ."
negative,"with this new rollerball , sense and sensibility have been overrun by what can only be characterized as robotic sentiment ."
negative,one can only assume that the jury who bestowed star hoffman's brother gordy with the waldo salt screenwriting award at 2002's sundance festival were honoring an attempt to do something different over actually pulling it off
negative,"a movie more to be prescribed than recommended -- as visually bland as a dentist's waiting room , complete with soothing muzak and a cushion of predictable narrative rhythms ."
negative,"sex ironically has little to do with the story , which becomes something about how lame it is to try and evade your responsibilities and that you should never , ever , leave a large dog alone with a toddler . but never mind all that ; the boobs are fantasti"
negative,"the script covers huge , heavy topics in a bland , surfacey way that doesn't offer any insight into why , for instance , good things happen to bad people ."
negative,"a portrait of alienation so perfect , it will certainly succeed in alienating most viewers ."
negative,the code talkers deserved better than a hollow tribute .
negative,skip the film and buy the philip glass soundtrack cd .
negative,feels like a cold old man going through the motions .
negative,dignified ceo's meet at a rustic retreat and pee against a tree . can you bear the laughter ?
negative,"dull and mechanical , kinda like a very goofy museum exhibit"
negative,"there's no point of view , no contemporary interpretation of joan's prefeminist plight , so we're left thinking the only reason to make the movie is because present standards allow for plenty of nudity ."
negative,beware the quirky brit-com . they can and will turn on a dime from oddly humorous to tediously sentimental .
negative,has its moments -- and almost as many subplots .
negative,"the gags , and the script , are a mixed bag ."
negative,completely awful iranian drama . . . as much fun as a grouchy ayatollah in a cold mosque .
negative,"narratively , trouble every day is a plodding mess ."
negative,there's no point in extracting the bare bones of byatt's plot for purposes of bland hollywood romance .
negative,"directors john musker and ron clements , the team behind the little mermaid , have produced sparkling retina candy , but they aren't able to muster a lot of emotional resonance in the cold vacuum of space ."
negative,"adam sandler's heart may be in the right place , but he needs to pull his head out of his butt"
negative,"there's no doubting that this is a highly ambitious and personal project for egoyan , but it's also one that , next to his best work , feels clumsy and convoluted ."
negative,"despite engaging offbeat touches , knockaround guys rarely seems interested in kicking around a raison d'etre that's as fresh-faced as its young-guns cast ."
negative,it's all pretty tame . the most offensive thing about the movie is that hollywood expects people to pay to see it .
negative,the movie is a mess from start to finish .
negative,"the trouble with making this queen a thoroughly modern maiden is that it also makes her appear foolish and shallow rather than , as was more likely , a victim of mental illness ."
negative,"i'm not saying that ice age doesn't have some fairly pretty pictures , but there's not enough substance in the story to actually give them life ."
negative,"in the telling of a story largely untold , bui chooses to produce something that is ultimately suspiciously familiar ."
negative,"the plot is nothing but boilerplate clichés from start to finish , and the script assumes that not only would subtlety be lost on the target audience , but that it's also too stupid to realize that they've already seen this exact same movie a hundred times"
negative,terminally brain dead production .
negative,"some episodes work , some don't ."
negative,beautifully filmed and well acted . . . but admittedly problematic in its narrative specifics .
negative,"j . lo will earn her share of the holiday box office pie , although this movie makes one thing perfectly clear : she's a pretty woman , but she's no working girl ."
negative,"rymer doesn't trust laughs -- and doesn't conjure proper respect for followers of the whole dead-undead genre , who deserve more from a vampire pic than a few shrieky special effects ."
negative,"not only are the film's sopranos gags incredibly dated and unfunny , they also demonstrate how desperate the makers of this 'we're -doing-it-for -the-cash' sequel were ."
negative,wow . i have not been this disappointed by a movie in a long time .
negative,"off the hook is overlong and not well-acted , but credit writer-producer-director adam watstein with finishing it at all ."
negative,it's a drag how nettelbeck sees working women -- or at least this working woman -- for whom she shows little understanding .
negative,"watching harris ham it up while physically and emotionally disintegrating over the course of the movie has a certain poignancy in light of his recent death , but boyd's film offers little else of consequence ."
negative,"it's also curious to note that this film , like the similarly ill-timed antitrust , is easily as bad at a fraction the budget ."
negative,"'ejemplo de una cinta en que no importa el talento de su reparto o lo interesante que pudo haber resultado su premisa , pues el resultado es francamente aburrido y , por momentos , deplorable . '"
negative,will probably be one of those movies barely registering a blip on the radar screen of 2002 .
negative,"the problem is not that it's all derivative , because plenty of funny movies recycle old tropes . the problem is that van wilder does little that is actually funny with the material ."
negative,there's nothing interesting in unfaithful whatsoever .
negative,none of this is half as moving as the filmmakers seem to think .
negative,a processed comedy chop suey .
negative,"as spent screen series go , star trek : nemesis is even more suggestive of a 65th class reunion mixer where only eight surviving members show up -- and there's nothing to drink ."
negative,"fails as a dystopian movie , as a retooling of fahrenheit 451 , and even as a rip-off of the matrix ."
negative,full of the kind of obnoxious chitchat that only self-aware neurotics engage in .
negative,"an erotic thriller that's neither too erotic nor very thrilling , either ."
negative,"the movie , like bartleby , is something of a stiff -- an extra-dry office comedy that seems twice as long as its 83 minutes ."
negative,with its parade of almost perpetually wasted characters . . . margarita feels like a hazy high that takes too long to shake .
negative,"if you value your time and money , find an escape clause and avoid seeing this trite , predictable rehash ."
negative,"the director and her capable cast appear to be caught in a heady whirl of new age-inspired good intentions , but the spell they cast isn't the least bit mesmerizing ."
negative,everything is pegged into the groove of a new york dating comedy with 'issues' to simplify .
negative,a dramatic comedy as pleasantly dishonest and pat as any hollywood fluff .
